ai_academic_entity,country,link
Insight Centre for Data Analytics (UCC),Ireland,https://www.insight-centre.org/
SFI Centre for Research Training in Artificial Intelligence,Ireland,http://www.crt-ai.ie/
"UCD Natural Computing Research & Applications Group, University College Dublin",Ireland,http://ncra.ucd.ie/index.php/contact/
"Caesarea Rothschild Institute for Interdisciplinary Applications of Computer Science, University of Haifa",Israel,https://cri.hevra.haifa.ac.il/
"Multiagent Systems Research Group, The Hebrew University of Jerusalem",Israel,https://www.cs.huji.ac.il/labs/mas/proc.php
"AI&Robotics Lab, Politecnico di Milano – Department of Electronics, Information, and Bioengineering",Italy,http://airlab.deib.polimi.it/
"AIRI: Artificial Intelligence Research and Innovation Center, Università di Modena e Reggio Emilia",Italy,https://www.airi.unimore.it/
"AI Group – machine learning @ unife, University of Ferrara",Italy,http://ml.unife.it/
"AI Research Group – DISMI@UniMORE, DISMI, Univ. Modena and Reggio Emilia",Italy,http://agentgroup.unimore.it/
"Artificial Intelligence Laboratory, University of Florence",Italy,http://ai.dinfo.unifi.it/
"Artificial Intelligence Laboratory – Dept. of Mathematics and Computer Science, University of Calabria",Italy,https://www.mat.unical.it/ComputerScience/ArtificialIntelligence
"Cefriel, Milano",Italy,https://cefriel.com/en/home
"Computational Intelligence Group, University of Genoa",Italy,https://sites.google.com/site/cilunigeit/computational-intelligence
"Computer Science Department, University of Torino",Italy,http://beta.di.unito.it/index.php/english
"CVPRLab, University of Naples Parthenope",Italy,http://cvprlab.uniparthenope.it/
"University of Bologna, Department of Computer Science and Engineering",Italy,https://disi.unibo.it/it
"DIAG – Department of Computer, Control, and Management Engineering, Sapienza University of Rome",Italy,http://www.dis.uniroma1.it/en
"Artificial Intelligence and Knowledge Representation, Sapienza University of Rome",Italy,https://sites.google.com/diag.uniroma1.it/aikr-lab/home
LabRoCoCo – Laboratory Artificial Intelligence and Robotics,Italy,http://labrococo.dis.uniroma1.it/
"Dipartimento di Informatica, Università degli Studi di Verona",Italy,https://www.di.univr.it/?lang=en
"Dipartimento di Informatica, Università di Pisa",Italy,https://di.unipi.it/en/
Advanced Algorithms and Applications Lab (A³ Lab),Italy,http://acube.di.unipi.it/
CIML – Computational Intelligence & Machine Learning Group,Italy,http://groups.di.unipi.it/groups/ciml/
The ItaliaNLP Lab,Italy,http://www.italianlp.it/
KDD Lab – Knowledge Discovery and Data Mining Laboratory,Italy,https://kdd.isti.cnr.it/
"DISI – Department of Information Engineering and Computer Science, University of Trento",Italy,https://www.disi.unitn.it/
"Knowdive Group, University of Trento",Italy,http://knowdive.disi.unitn.it/research/
LIONlab – MACHINE LEARNING AND INTELLIGENT OPTIMIZATION,Italy,https://intelligent-optimization.org/
SML – Structured Machine Learning Group,Italy,http://sml.disi.unitn.it/
SWENG_FM – Research Program in SW Engineering and Formal Methods,Italy,https://www.disi.unitn.it/it/research/programs/sweng
"FBK ICT, Fondazione Bruno Kessler, Trento",Italy,https://ict.fbk.eu/
"Institute for Cognitive Sciences and Technologies, National Research Council, Rome",Italy,https://istc.cnr.it/en/page/presentation
"Knowledge Representation and Automated Reasoning Lab, University of Perugia",Italy,https://www.krarlab.dmi.unipg.it/
"KRDB Research Centre for Knowledge and Data, Free University of Bozen-Bolzano",Italy,https://www.inf.unibz.it/krdb/
"SAILAB – Siena Artificial Intelligence Lab, University of Siena, Siena",Italy,https://sailab.diism.unisi.it/
"Traffic Research Group, Department of Electrical Engineering and Information Technologies, University of Naples Federico II",Italy,http://traffic.comics.unina.it/
"UNIOR Natural Language Processing and Computational Linguistics group, University of Naples L’Orientale, Naples",Italy,http://www.unior.it/
"University of Campania “Luigi Vanvitelli”, Caserta",Italy,https://www.unicampania.it/
"Dept. of Engineering – Laboratory of Artificial Intelligence, Aversa",Italy,https://www.ingegneria.unicampania.it/dipartimento/strutture-del-dipartimento/laboratori#laboratorio-di-ingegneria-del-software-ed-intelligenza-artificiale
"Industrial, Environmental and Biometric Informatics Laboratory, University of Milan",Italy,https://iebil.di.unimi.it/
K.D.I.S - Knowledge Discovery and Intelligent Systems,Jamaica,https://www.mona.uwi.edu/compsci/research/areas/kdis-knowledge-discovery-and-intelligent-systems
"Robotics and machine perception laboratory, EDI- Elektronikas un datorzinatnu instituts, Riga",Latvia,https://www.edi.lv/en/labs/robotics-and-machine-perception-laboratory/
"Faculty of Economics and Management, Vytautas Magnus University, Kaunas",Lithuania,http://evf.vdu.lt/en/
"Institute of Computer Science, Vilnius University",Lithuania,https://mif.vu.lt/lt3/en/about/structure/institute-of-computer-science
"Intelligent System Laboratory, Vytautas Magnus University, Kaunas",Lithuania,https://www.vdu.lt/en/
"Computer science and communications, University of Luxembourg, Esch sur Alzette",Luxemburg,https://wwwen.uni.lu/research/fstm/cicel/computer_science_and_communications_research_unit
"IT for Innovative Services (ITIS), LIST – Luxembourg Institute of Science and Technology, Luxembourg",Luxemburg,http://www.innovation.public.lu/en/cooperer/trouver-partenaires/instituts/luxembourg-institute-of-science-and-technology-list-1/luxembourg-institute-of-science-and-technology-list-1/it-for-innovative-services-itis/index.html
"Advanced Concepts Team, European Space Agency, Noordwijk",Netherlands,https://www.esa.int/gsp/ACT/
"Computational Intelligence Group, Vrije Universiteit Amsterdam",Netherlands,https://cs.vu.nl/ci/
"Crime & Safety department, Jheronimus Academy of Data Science, Den Bosch",Netherlands,https://www.jads.nl/
"CWI – Centrum Wiskunde & Informatica, NWO-I, Amsterdam",Netherlands,https://www.cwi.nl/
CWI Machine Learning Group,Netherlands,https://www.cwi.nl/research/groups/machine-learning
"DAIR – Delft Artificial Intelligence Research, Delft University of Technology, Delft",Netherlands,https://www.tudelft.nl/ai/
"Data Mining Research Group, Eindhoven University of Technology, Eindhoven",Netherlands,https://www.win.tue.nl/dm/doku.php
"Department of Artificial Intelligence, Bernoulli Institute of Mathematics, Computer Science and Artificial Intelligence, University of Groningen",Netherlands,https://www.rug.nl/research/bernoulli/
"Department of Information and Computing Science, Utrecht University",Netherlands,https://www.uu.nl/en/organisation/department-of-information-and-computing-sciences
"Intelligent Systems, Utrecht University",Netherlands,https://www.uu.nl/en/research/intelligent-software-systems/intelligent-systems
"Department of Radiology, Leiden University Medical Center, Leiden",Netherlands,https://www.lumc.nl/org/radiologie/
"Eindhoven AI Systems Institute (EAISI), Eindhoven University of Technology",Netherlands,https://www.tue.nl/en/research/institutes/eindhoven-artificial-intelligence-systems-institute/
"Human-centered Artificial Intelligence focus area, Utrecht University",Netherlands,https://www.uu.nl/en/research/human-centered-artificial-intelligence
"Information and Language Processing Systems, University of Amsterdam",Netherlands,https://ivi.uva.nl/content/research-groups/information-and-language-processing-systems/information-and-language-processing-systems.html
"Intelligent Sensory Information Systems Lab, University of Amsterdam",Netherlands,https://ivi.fnwi.uva.nl/isis/index.html
"KNAW - Humanities Cluster, Royal Netherlands Academy of Arts and Sciences",Netherlands,https://huc.knaw.nl/
"Knowledge Representation & Reasoning Group, Vrije Universiteit Amsterdam",Netherlands,https://krr.cs.vu.nl/
"Leiden Institute of Advanced Computer Science, Leiden University",Netherlands,https://www.universiteitleiden.nl/en/science/computer-science
ADA Research Group,Netherlands,https://ada.liacs.nl/
Computational Drug Discovery,Netherlands,https://www.universiteitleiden.nl/en/science/drug-research/drug-discovery-and-safety/computational-drug-discovery
